"cod_distrito","nombre_distrito","nombre_distrito_norm","pob_total","pob_menor_16","pob_mayor_65","indice_envejecimiento","num_colegios","ratio_colegio","num_hospitales","ratio_hospital","alquiler_m2","renta_media_hogar","esfuerzo_alquiler","num_zonas_verdes","ratio_zonas_verdes"
1,"1. Ciutat Vella","ciutat vella",27983,3334,5748,172.41,0,0,0,0,14.4,46088,29.9947925707342,0,0
2,"2. l'Eixample","leixample",42672,5961,9797,164.35,0,0,0,0,13.2,52010,24.3645452797539,0,0
3,"3. Extramurs","extramurs",48536,6396,11414,178.46,0,0,0,0,10.6,43201,23.5550103006875,0,0
4,"4. Campanar","campanar",39164,6296,8464,134.43,0,0,0,0,10.6,42527,23.9283278858137,0,0
5,"5. la Saïdia","la saidia",47013,5961,11078,185.84,0,0,0,0,10.5,34130,29.5341341927923,0,0
6,"6. el Pla del Real","el pla del real",30444,4715,7280,154.4,0,0,0,0,11,58092,18.178062383805,0,0
7,"7. l'Olivereta","lolivereta",48686,6215,10673,171.73,0,0,0,0,9.6,30394,30.3217740343489,0,0
8,"8. Patraix","patraix",57798,7384,12660,171.45,0,0,0,0,9.6,36536,25.2244361725422,0,0
9,"9. Jesús","jesus",51941,6489,11196,172.54,0,0,0,0,9,32005,26.9957819090767,0,0
10,"10. Quatre Carreres","quatre carreres",74555,10398,15749,151.46,0,0,0,0,10.9,34390,30.4274498400698,0,0
11,"11. Poblats Marítims","poblats maritims",55486,7420,11532,155.42,0,0,0,0,12,31660,36.3866077068857,0,0
12,"12. Camins al Grau","camins al grau",65552,9534,12383,129.88,0,0,0,0,11.1,38406,27.7456647398844,0,0
13,"13. Algirós","algiros",35874,3888,9261,238.19,0,0,0,0,10.8,38781,26.7347412392667,0,0
14,"14. Benimaclet","benimaclet",28064,3295,6528,198.12,0,0,0,0,11.1,38379,27.7651840850465,0,0
15,"15. Rascanya","rascanya",53566,8264,9669,117,0,0,0,0,9.8,33209,28.3296696678611,0,0
16,"16. Benicalap","benicalap",47752,7233,8833,122.12,0,0,0,0,9.1,32894,26.5580348999818,0,0
17,"17. Pobles del Nord","pobles del nord",6744,1020,1413,138.53,0,0,0,0,11,42038,25.1201294067272,0,0
18,"18. Pobles de l'Oest","pobles de loest",14546,2148,2772,129.05,0,0,0,0,9.4,30219,29.8620073463715,0,0
19,"19. Pobles del Sud","pobles del sud",21289,3032,4452,146.83,0,0,0,0,9.9,32240,29.4789081885856,0,0
